id,image,age,sex,background,text_origin,bbox_origin,text_90,bbox_90,text_80,bbox_80
IMG_OCR_53_4PR_04358,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04358.png,37,0,0,"['004358', '경기도', '대전광역시', '충청북도', '울산광역시', '정읍시', '군위군', '부산진구', '의성군', '송악면', '상덕동', '주산면', '욱수동', '인지동', '점동면', '갑동', '동충동', '핑프', '고답이', '삼귀다', '천차스', 'VM', 'GPU', 'LED', 'DVD', '^.^', '(T_T)', '睡', '悠', '임최규', '오경국', '정계력', '변주안', '하안투', '지서보', '안방사', '마서직', '장련주', '전곡향', '진알항', '권투조']","[[1941, 138, 2190, 223], [339, 1016, 566, 1134], [888, 1016, 1255, 1117], [1415, 1019, 1689, 1124], [1935, 1008, 2295, 1145], [386, 1244, 613, 1351], [920, 1231, 1141, 1349], [1430, 1229, 1681, 1360], [1949, 1226, 2191, 1355], [392, 1452, 611, 1566], [907, 1445, 1151, 1576], [1443, 1443, 1687, 1572], [1960, 1435, 2175, 1574], [382, 1662, 624, 1788], [881, 1664, 1162, 1790], [1435, 1664, 1611, 1786], [1922, 1649, 2136, 1791], [373, 1878, 585, 2005], [903, 1881, 1133, 1990], [1401, 1868, 1678, 2010], [1943, 1874, 2224, 2011], [369, 2093, 530, 2209], [901, 2108, 1086, 2239], [1407, 2093, 1609, 2235], [1992, 2099, 2245, 2215], [369, 2307, 566, 2433], [905, 2314, 1173, 2443], [1411, 2290, 1587, 2432], [1900, 2288, 2097, 2455], [348, 2533, 584, 2672], [916, 2548, 1122, 2675], [1454, 2531, 1735, 2660], [1902, 2515, 2144, 2648], [333, 2747, 586, 2888], [879, 2760, 1123, 2895], [1439, 2758, 1701, 2895], [1919, 2749, 2206, 2895], [352, 2966, 657, 3114], [824, 2966, 1111, 3116], [1422, 2970, 1699, 3094], [1930, 2976, 2196, 3122]]",,,,
IMG_OCR_53_4PR_04359,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04359.png,37,0,0,"['004359', '대전광역시', '서울특별시', '제주특별자치도', '경상남도', '미추홀구', '김포시', '무안군', '영등포구', '금산동', '이태원동', '원흥동', '대황교동', '북하연', '이도동', '내도동', '전농동', '문찐', '엄근진', '보배', '턱스크', 'RF', 'PIP', 'EMS', 'UHDTV', '^^', '^.~', '苟', '罪', '윤휴마', '하마범', '류순민', '이편세', '맹각지', '위등봉', '지비모', '마사실', '김주단', '한민저', '유기소']","[[1907, 145, 2188, 230], [308, 997, 683, 1128], [857, 1001, 1171, 1141], [1376, 1003, 1848, 1149], [1924, 999, 2254, 1145], [331, 1225, 607, 1354], [889, 1214, 1158, 1358], [1444, 1232, 1705, 1374], [1909, 1223, 2228, 1376], [355, 1440, 592, 1595], [870, 1434, 1215, 1578], [1434, 1445, 1651, 1576], [1914, 1438, 2211, 1563], [364, 1656, 590, 1792], [939, 1656, 1150, 1789], [1444, 1662, 1676, 1789], [1965, 1662, 2215, 1787], [357, 1856, 570, 2030], [891, 1869, 1145, 2005], [1440, 1866, 1647, 1997], [1955, 1879, 2157, 2004], [363, 2099, 542, 2230], [945, 2093, 1128, 2224], [1470, 2095, 1677, 2228], [1940, 2097, 2269, 2239], [374, 2291, 544, 2422], [915, 2317, 1124, 2440], [1444, 2295, 1595, 2450], [1982, 2288, 2134, 2461], [351, 2546, 589, 2677], [871, 2541, 1125, 2661], [1412, 2539, 1629, 2659], [1964, 2536, 2257, 2680], [366, 2750, 635, 2894], [887, 2756, 1141, 2889], [1420, 2753, 1660, 2878], [1909, 2761, 2191, 2894], [345, 2980, 630, 3100], [1459, 2970, 1726, 3103], [1919, 2980, 2165, 3098]]",,,,
IMG_OCR_53_4PR_04360,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04360.png,37,0,0,"['004360', '경상남도', '세종특별자치시', '충청남도', '부산광역시', '예산군', '달서구', '동래구', '화순군', '서람동', '창성동', '줄포면', '주촌면', '창천동', '성성동', '계산동', '청량읍', '설참', '비당', '법블레스유', '연서복', 'VOIP', 'ATIS', 'GSM', 'IEEE', '(T_T)', '(T.T)', '話', '從', '모사입', '서소파', '나해기', '전효적', '변전권', '석강갈', '최거사', '인서기', '남유적', '임강선', '양념전']","[[1951, 144, 2216, 226], [312, 1003, 662, 1142], [856, 1012, 1313, 1140], [1402, 997, 1720, 1149], [1920, 1014, 2249, 1151], [344, 1204, 612, 1358], [945, 1208, 1210, 1365], [1456, 1223, 1693, 1351], [1939, 1230, 2198, 1363], [349, 1445, 617, 1565], [910, 1454, 1182, 1574], [1445, 1434, 1708, 1575], [1961, 1449, 2233, 1577], [366, 1643, 625, 1802], [899, 1663, 1162, 1791], [1426, 1680, 1724, 1804], [1948, 1650, 2211, 1796], [331, 1885, 592, 2031], [917, 1885, 1150, 2013], [1397, 1880, 1763, 2030], [1963, 1891, 2255, 2028], [379, 2074, 618, 2218], [903, 2080, 1131, 2224], [1430, 2098, 1702, 2226], [1937, 2098, 2192, 2231], [386, 2302, 673, 2448], [930, 2307, 1213, 2457], [1417, 2296, 1613, 2468], [1952, 2296, 2139, 2470], [353, 2533, 597, 2677], [888, 2537, 1164, 2676], [1421, 2544, 1678, 2675], [1959, 2540, 2209, 2684], [359, 2759, 601, 2898], [917, 2757, 1180, 2894], [1408, 2779, 1673, 2905], [355, 2966, 610, 3092], [812, 2966, 1114, 3107], [1413, 2992, 1681, 3133], [1946, 2981, 2216, 3122]]",,,,
IMG_OCR_53_4PR_04361,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04361.png,37,0,0,"['004361', '서울특별시', '광주광역시', '부산광역시', '세종특별자치시', '양평군', '관악구', '보령시', '영월군', '서탄면', '등봉동', '단현동', '삼동면', '신창동2가', '구도동', '영등포동', '상계동', '아싸', '가싶남', '답정너', '스세권', 'ERM', 'MOS', 'FCC', 'MAC', '=.=', '(^-^)/', '國', '차략수', '노화포', '안둔험', '신평운', '석안봉', '지조사', '금작병', '추노포', '라심정', '편감서', '노의대']","[[1894, 140, 2131, 218], [369, 976, 699, 1117], [877, 1013, 1212, 1137], [1447, 1024, 1790, 1148], [1921, 1005, 2365, 1133], [364, 1207, 612, 1340], [893, 1226, 1119, 1354], [1469, 1216, 1699, 1346], [1930, 1229, 2176, 1357], [364, 1435, 640, 1574], [919, 1439, 1152, 1574], [1471, 1418, 1747, 1555], [1932, 1433, 2186, 1572], [316, 1659, 670, 1798], [901, 1666, 1129, 1801], [1393, 1666, 1693, 1801], [1960, 1663, 2219, 1789], [364, 1881, 594, 2007], [908, 1885, 1184, 2024], [1406, 1868, 1689, 2020], [1962, 1868, 2212, 2020], [353, 2094, 594, 2218], [934, 2094, 1151, 2229], [1453, 2096, 1686, 2233], [1930, 2087, 2141, 2226], [369, 2313, 560, 2439], [906, 2289, 1241, 2461], [1438, 2296, 1647, 2437], [342, 2542, 609, 2677], [853, 2518, 1086, 2664], [1410, 2526, 1684, 2669], [1908, 2533, 2175, 2670], [325, 2757, 575, 2896], [1406, 2753, 1667, 2877], [1910, 2757, 2169, 2887], [349, 2974, 586, 3111], [890, 2963, 1162, 3098], [1384, 2970, 1656, 3111], [1936, 2968, 2179, 3122]]",,,,
IMG_OCR_53_4PR_04362,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04362.png,37,0,0,"['004362', '광주광역시', '충청남도', '대구광역시', '울산광역시', '고양시', '일산동구', '정선군', '화순군', '청주시', '서원구', '동성로2가', '녹양동', '은척면', '성거읍', '옥도면', '청하면', '안풍동', '서문로1가', '만반잘부', '할많하않', '글설리', '일코노미', 'XML', 'MSC', 'LTE', 'UDSL', '(T_T)', 'o_o', '銀', '廟', '신참사', '표막섭', '임장군', '도효모', '양분초', '금사금', '편라계', '공전채', '주구현', '위지란', '나녕곽', '변월용']","[[1903, 143, 2171, 229], [352, 1007, 730, 1153], [892, 1003, 1190, 1160], [1438, 1012, 1793, 1156], [1929, 1003, 2290, 1149], [319, 1210, 502, 1343], [517, 1218, 717, 1366], [896, 1229, 1131, 1357], [1424, 1218, 1644, 1355], [1907, 1212, 2120, 1347], [2142, 1227, 2316, 1362], [352, 1436, 674, 1571], [920, 1438, 1175, 1586], [1420, 1436, 1714, 1580], [1962, 1440, 2171, 1579], [361, 1664, 589, 1792], [913, 1649, 1191, 1803], [1420, 1653, 1644, 1801], [1942, 1660, 2238, 1804], [333, 1869, 679, 2013], [842, 1854, 1223, 2024], [1379, 1869, 1638, 2021], [1920, 1880, 2177, 2019], [361, 2097, 594, 2234], [905, 2082, 1160, 2230], [1440, 2089, 1673, 2237], [1914, 2091, 2199, 2224], [352, 2310, 672, 2445], [913, 2315, 1133, 2454], [1403, 2302, 1599, 2452], [1920, 2286, 2077, 2460], [333, 2532, 607, 2673], [905, 2532, 1149, 2676], [1429, 2528, 1664, 2685], [1923, 2561, 2145, 2678], [335, 2754, 590, 2900], [907, 2752, 1146, 2904], [1407, 2761, 1696, 2905], [1916, 2752, 2140, 2896], [346, 2972, 568, 3109], [861, 2983, 1107, 3122], [1431, 2978, 1683, 3128], [1938, 2985, 2175, 3113]]",,,,
IMG_OCR_53_4PR_04363,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04363.png,37,0,0,"['004363', '대구광역시', '서울특별시', '전라남도', '경기도', '광산구', '창원시', '마산합포구', '괴산군', '의왕시', '성연면', '동춘동', '개포면', '이동읍', '금과면', '부량면', '명촌동', '동선동1가', '반모', '쉼포족', '제곧내', '발컨', 'EMS', 'VOD', 'IVHS', 'PMS', '-_-+', '~(-_-)~', '林', '남궁유위', '변추책', '전상회', '장기희', '민주책', '황도몰', '위손우', '여택례', '백시질', '강요함', '서계화', '모포분', '象']","[[1939, 147, 2225, 228], [320, 999, 736, 1139], [878, 994, 1199, 1127], [1410, 1012, 1737, 1150], [1957, 1023, 2202, 1139], [379, 1212, 635, 1358], [861, 1219, 1053, 1344], [1076, 1227, 1326, 1363], [1417, 1227, 1652, 1360], [1935, 1218, 2189, 1354], [355, 1434, 631, 1572], [878, 1429, 1126, 1573], [1404, 1427, 1703, 1575], [1989, 1451, 2202, 1578], [323, 1656, 601, 1809], [882, 1655, 1145, 1803], [1406, 1655, 1669, 1795], [1942, 1655, 2282, 1793], [428, 1862, 611, 1991], [900, 1867, 1158, 2024], [1380, 1867, 1668, 2003], [1948, 1875, 2153, 2013], [376, 2091, 617, 2214], [928, 2090, 1165, 2223], [1423, 2091, 1630, 2220], [1974, 2095, 2176, 2237], [349, 2306, 618, 2463], [867, 2310, 1242, 2472], [1920, 2312, 2124, 2446], [361, 2525, 654, 2674], [869, 2536, 1162, 2672], [1369, 2538, 1649, 2680], [1920, 2530, 2191, 2672], [342, 2762, 630, 2870], [895, 2767, 1121, 2900], [1412, 2749, 1642, 2882], [1935, 2764, 2224, 2889], [351, 2954, 616, 3087], [889, 2956, 1139, 3104], [1421, 2973, 1697, 3106], [1912, 2969, 2145, 3113], [1433, 2287, 1596, 2487]]",,,,
IMG_OCR_53_4PR_04364,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04364.png,37,0,0,"['004364', '경기도', '대전광역시', '강원도', '광주광역시', '과천시', '서구', '거창군', '서천군', '봉현면', '정봉동', '평전동', '사농동', '서패동', '이백면', '신림면', '양호동', '스세권', '만반잘부', '맥세권', '앱등이', 'DAS', 'IC', 'ISO', 'NPS', '^-^', '-_-+', '頂', '염상과', '허리침', '유석독', '변배재', '방환부', '장심목', '배부기', '편조난', '연신이', '김풍양', '양궁방', '임랑위']","[[1901, 135, 2214, 221], [336, 991, 610, 1121], [892, 1010, 1291, 1146], [1434, 1015, 1729, 1148], [1906, 1015, 2282, 1138], [396, 1221, 644, 1351], [952, 1205, 1137, 1346], [1403, 1208, 1666, 1346], [1899, 1216, 2155, 1357], [347, 1432, 634, 1575], [881, 1432, 1176, 1578], [1364, 1430, 1659, 1573], [1925, 1437, 2152, 1580], [344, 1651, 662, 1794], [858, 1659, 1158, 1782], [1385, 1649, 1648, 1790], [1951, 1667, 2183, 1810], [323, 1862, 623, 2005], [868, 1883, 1189, 2021], [1408, 1873, 1661, 2001], [1938, 1878, 2157, 2021], [373, 2082, 600, 2231], [908, 2089, 1093, 2222], [1427, 2100, 1649, 2228], [1927, 2089, 2120, 2217], [342, 2301, 605, 2452], [894, 2295, 1191, 2451], [1367, 2285, 1612, 2468], [352, 2530, 618, 2666], [853, 2522, 1109, 2678], [1403, 2533, 1659, 2674], [1946, 2520, 2230, 2682], [342, 2747, 637, 2888], [842, 2762, 1113, 2905], [1367, 2749, 1610, 2890], [1930, 2741, 2206, 2892], [378, 2984, 626, 3101], [879, 2960, 1158, 3096], [1400, 2963, 1640, 3112], [1909, 2963, 2193, 3104]]",,,,
IMG_OCR_53_4PR_04365,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04365.png,37,0,0,"['004365', '세종특별시', '울산광역시', '강원도', '제주특별자치도', '유성구', '관악구', '창원시', '마산합포구', '영암군', '서생면', '상갈동', '구래동', '시장북로', '시동', '성산읍', '도포면', '사곡면', '가심비', '푸라면', '덕력', '예지앞사', 'CAT', 'CDMA', 'AI', 'COM', '(~ㅇㅂㅇ)~', '=.=', '說', '진무련', '강응심', '신미경', '노경위', '연번청', '하목획', '채가위', '천시습', '주니반', '금모음', '남술유', '양모서']","[[1914, 134, 2205, 225], [361, 1000, 712, 1139], [871, 1013, 1211, 1139], [1411, 1006, 1680, 1138], [1901, 1028, 2387, 1158], [335, 1221, 632, 1353], [886, 1208, 1144, 1368], [1370, 1217, 1559, 1371], [1569, 1221, 1853, 1373], [1949, 1221, 2198, 1364], [353, 1431, 605, 1565], [936, 1451, 1131, 1585], [1417, 1453, 1647, 1577], [1918, 1442, 2178, 1576], [383, 1648, 546, 1787], [910, 1644, 1138, 1789], [1406, 1650, 1660, 1778], [1968, 1668, 2202, 1805], [342, 1867, 648, 2019], [882, 1863, 1131, 2008], [1398, 1869, 1628, 2012], [1942, 1863, 2302, 2017], [374, 2104, 606, 2236], [893, 2091, 1145, 2230], [1478, 2097, 1619, 2234], [1975, 2101, 2179, 2240], [346, 2303, 743, 2463], [867, 2310, 1127, 2451], [1406, 2294, 1623, 2465], [344, 2537, 615, 2652], [838, 2526, 1083, 2660], [1398, 2520, 1695, 2661], [1927, 2535, 2218, 2687], [350, 2745, 630, 2892], [890, 2743, 1126, 2890], [1404, 2748, 1638, 2889], [1905, 2758, 2133, 2901], [335, 2956, 630, 3099], [854, 2962, 1093, 3109], [1396, 2958, 1676, 3099], [1910, 2975, 2203, 3107]]",,,,
IMG_OCR_53_4PR_04366,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04366.png,37,0,0,"['004366', '경상남도', '경기도', '제주특별자치도', '서울특별시', '남구', '장수군', '청도면', '보령시', '하모동', '구항면', '산척면', '용궁면', '신전동', '대술면', '개군면', '평은면', '새등', '핑프', '옥희', '꾸안꾸', 'ISDN', 'DHCP', 'OOT', 'ICT', 'S(-_-)z', '^o^', '堂', '疑', '연형상', '진전사', '변번세', '임곤쟁', '노청석', '구야교', '편청연', '여초내', '여주침', '방포손', '노원도', '명죄철']","[[1898, 144, 2171, 226], [339, 1013, 653, 1153], [922, 1004, 1153, 1133], [1396, 1024, 1850, 1148], [1952, 1011, 2310, 1131], [348, 1249, 575, 1380], [909, 1227, 1153, 1371], [1411, 1220, 1699, 1371], [1961, 1235, 2210, 1357], [363, 1428, 601, 1568], [883, 1439, 1141, 1577], [1420, 1441, 1686, 1579], [1946, 1430, 2180, 1574], [361, 1642, 590, 1788], [894, 1644, 1176, 1797], [1431, 1653, 1717, 1795], [1937, 1650, 2223, 1798], [407, 1864, 610, 2012], [881, 1880, 1071, 2004], [1437, 1864, 1625, 2012], [1946, 1880, 2193, 2018], [365, 2096, 631, 2220], [881, 2089, 1198, 2231], [1407, 2094, 1658, 2247], [1926, 2096, 2151, 2236], [348, 2323, 719, 2465], [915, 2318, 1133, 2445], [1428, 2288, 1668, 2480], [1911, 2288, 2138, 2467], [350, 2534, 645, 2678], [896, 2545, 1193, 2665], [1391, 2530, 1670, 2676], [1930, 2532, 2192, 2674], [328, 2751, 596, 2893], [828, 2751, 1112, 2910], [1376, 2753, 1673, 2904], [1948, 2742, 2214, 2895], [337, 2962, 610, 3095], [867, 2967, 1131, 3105], [1402, 2958, 1662, 3098], [1954, 2962, 2216, 3110]]",,,,
IMG_OCR_53_4PR_04367,data/HW_OCR/4.Validation/P.Paper/R.Free/IMG_OCR_53_4PR_04367.png,37,0,0,"['004367', '서울특별시', '울산광역시', '전라북도', '강원도', '고성군', '관악구', '창원시', '진해구', '양평군', '강천면', '신용동', '산곡동', '돈암동', '의성읍', '삼락동', '다방동', '구성면', '올인빌', '갑통알', '반모', '고답이', 'NFC', 'LAN', 'HUB', 'WAS', '8_)', '^^', '洗', '宜', '제헌강', '명좌계', '방제인', '허완소', '강용방', '전두수', '주적묘', '서토례', '주뇌오', '박장남', '한각난', '안곤영']","[[1910, 145, 2188, 227], [320, 1009, 644, 1146], [882, 1011, 1247, 1148], [1434, 1022, 1771, 1132], [1990, 1028, 2243, 1142], [335, 1225, 573, 1371], [910, 1211, 1150, 1366], [1385, 1228, 1621, 1368], [1640, 1234, 1823, 1363], [1979, 1225, 2239, 1373], [361, 1453, 640, 1575], [900, 1457, 1121, 1581], [1413, 1436, 1625, 1575], [1941, 1436, 2153, 1590], [359, 1664, 582, 1784], [908, 1653, 1166, 1793], [1430, 1666, 1692, 1795], [1934, 1659, 2207, 1796], [344, 1876, 584, 2007], [899, 1872, 1178, 2012], [1430, 1876, 1649, 2015], [1938, 1878, 2157, 2017], [365, 2108, 562, 2232], [914, 2099, 1148, 2221], [1406, 2093, 1593, 2237], [1968, 2108, 2200, 2230], [404, 2308, 616, 2458], [902, 2307, 1129, 2461], [1398, 2318, 1610, 2473], [1966, 2293, 2136, 2450], [371, 2535, 639, 2666], [859, 2526, 1175, 2655], [1397, 2541, 1674, 2680], [1945, 2548, 2185, 2681], [337, 2741, 620, 2898], [871, 2746, 1152, 2879], [1451, 2752, 1681, 2891], [1926, 2758, 2181, 2893], [373, 2977, 603, 3117], [915, 2971, 1192, 3106], [1408, 2967, 1674, 3109], [1934, 2979, 2200, 3123]]",,,,
